url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://sfbay.craigslist.org/eby/cto/d/fremont-2005-toyota-avalon-xls/7082970574.html,2005 Toyota Avalon xls,4999,2005,,good,6cylinders,fwd,gas,213000,,,clean,automatic,,https://images.craigslist.org/00O0O_jWM3ZqIGWnW_600x450.jpg,
https://sfbay.craigslist.org/sby/ctd/d/sacramento-2013-toyota-avalon-hybrid/7081744438.html,2013 TOYOTA AVALON,11999,2013,4T1BD1EB5DU007016,,,fwd,other,122622,silver,,clean,,sedan,https://images.craigslist.org/00e0e_cUzi4cS5ePC_600x450.jpg,
https://sfbay.craigslist.org/pen/ctd/d/2007-lexus-rx-350-auto-clean-title-good/7081610985.html,2007 toyota camry avalon  sienna,5600,2007,@redandbluemotors,,,,gas,,,,clean,automatic,,https://images.craigslist.org/00e0e_eQRk5Yxtlvl_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/hayward-2002-toyota-avalon-bridges/7081582268.html,2002 Toyota Avalon,4999,2002,4T1BF28B62U224633,good,6cylinders,fwd,gas,128685,white,full-size,clean,automatic,sedan,https://images.craigslist.org/00B0B_5jPf0KCJsbr_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/hayward-2004-toyota-avalon-xls-bridges/7081577831.html,2004 Toyota Avalon XLS,5388,2004,4T1BF28B64U356164,good,6cylinders,fwd,gas,128750,black,full-size,clean,automatic,sedan,https://images.craigslist.org/00w0w_9akBjyCiMEu_600x450.jpg,
https://sfbay.craigslist.org/eby/cto/d/oakland-2002-toyota-avalon/7081505933.html,2002 Toyota Avalon,1695,2002,,,,,gas,,,,salvage,automatic,,https://images.craigslist.org/00f0f_1x8c83VTgUB_600x450.jpg,
https://sfbay.craigslist.org/eby/cto/d/vallejo-toyota-avalon/7081498379.html,2007 toyota avalon,1800,2007,,,,,gas,,,,salvage,automatic,,https://images.craigslist.org/00e0e_eXisNZAjBFR_600x450.jpg,
https://sfbay.craigslist.org/sby/cto/d/san-jose-2005-toyota-avalon-touring/7080699758.html,2005 toyota avalon touring,3299,2005,4T1BK36B85U023101,good,6cylinders,fwd,gas,203191,grey,full-size,clean,automatic,sedan,https://images.craigslist.org/00606_2kwcqPkW1zn_600x450.jpg,
https://sfbay.craigslist.org/eby/cto/d/vallejo-2009-toyota-avalon-xls-nice/7080418123.html,2009 Toyota Avalon XLS,4700,2009,,,6cylinders,,gas,159251,,,salvage,automatic,,https://images.craigslist.org/00u0u_fympS5C1QPz_600x450.jpg,
https://sfbay.craigslist.org/eby/cto/d/pittsburg-2013-toyota-avalon/7080397926.html,2013 2013 toyota avalon,11500,2013,,excellent,4cylinders,fwd,gas,116000,custom,mid-size,clean,automatic,sedan,https://images.craigslist.org/00h0h_eI9VLm7C39J_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/walnut-creek-2017-toyota-avalon-call/7080332519.html,2017 Toyota Avalon,20900,2017,4T1BK1EB2HU255767,,,fwd,gas,36961,black,,clean,automatic,,https://images.craigslist.org/00l0l_2yj64dgR0Ip_600x450.jpg,
https://sfbay.craigslist.org/pen/ctd/d/redwood-city-2016-toyota-avalon-white/7080281864.html,2016 Toyota Avalon Touring 4D Sedan automatic,20982.00,2016,4T1BK1EB5GU234488,,,fwd,gas,41997,white,,clean,automatic,sedan,https://images.craigslist.org/01010_kBrtrTuEcGv_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/concord-1995-toyota-avalon-4d-sedan/7080118338.html,1995 Toyota Avalon,3300,1995,,fair,6cylinders,fwd,gas,79588,,full-size,clean,automatic,sedan,https://images.craigslist.org/00x0x_3DqgVGR1EOb_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/2006-toyota-avalon-xls-financing/7080059234.html,2006 Toyota Avalon,0,,4T1BK36B86U135673,excellent,6cylinders,fwd,gas,134000,,,clean,automatic,sedan,https://images.craigslist.org/00b0b_kqV3hmSl3ct_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/2005-toyota-avalon-limited-99-mile-good/7080052490.html,2005 toyota avalon limited,5900,2005,,good,6cylinders,fwd,gas,99000,silver,full-size,salvage,automatic,sedan,https://images.craigslist.org/00n0n_4vTW4vZVQH3_600x450.jpg,
https://sfbay.craigslist.org/pen/cto/d/palo-alto-1997-toyota-avalon-xls/7080037056.html,1997 Toyota Avalon,2900,1997,,good,6cylinders,fwd,gas,182000,green,mid-size,clean,automatic,sedan,https://images.craigslist.org/00Q0Q_dGWr8hfPBDq_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/newark-1999-toyota-avalon-xl-sedan/7080017371.html,1999 Toyota Avalon XL,3700,1999,4T1BF18B7XU309031,,6cylinders,fwd,gas,99303,white,,clean,automatic,,https://images.craigslist.org/00s0s_9aV2FmtAAjU_600x450.jpg,
https://sfbay.craigslist.org/pen/ctd/d/fremont-2014-toyota-avalon-hybrid-fwd/7079994532.html,2014 Toyota Avalon Hybrid,13881,2014,4T1BD1EB9EU032342,excellent,4cylinders,fwd,hybrid,117150,black,,clean,automatic,sedan,https://images.craigslist.org/00X0X_5ODg5WmKX4H_600x450.jpg,
https://sfbay.craigslist.org/sby/ctd/d/sacramento-2013-toyota-avalon-hybrid/7079975073.html,2013 TOYOTA AVALON,11999,2013,4T1BD1EB5DU007016,,,fwd,other,122622,silver,,clean,,sedan,https://images.craigslist.org/00e0e_cUzi4cS5ePC_600x450.jpg,
https://sfbay.craigslist.org/pen/ctd/d/daly-city-2016-toyota-avalon-hybrid-xle/7079909158.html,2016 toyota avalon,14995,2016,,,,,hybrid,,,,clean,automatic,,https://images.craigslist.org/00z0z_1JLabsoqxgj_600x450.jpg,
https://sfbay.craigslist.org/sby/ctd/d/santa-cruz-2010-toyota-avalon-limited/7079853664.html,2010 Toyota Avalon Limited,9995,2010,4T1BK3DB4AU355727,excellent,6cylinders,fwd,gas,90330,black,,clean,automatic,sedan,https://images.craigslist.org/00M0M_1QMVmEtNEnl_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/hayward-2012-toyota-avalon-limited/7079369694.html,2012 Toyota Avalon,13888,2012,4T1BK3DB3CU453375,excellent,6cylinders,fwd,gas,59378,silver,full-size,clean,automatic,sedan,https://images.craigslist.org/00f0f_32oPqAWitD1_600x450.jpg,
https://sfbay.craigslist.org/pen/cto/d/belmont-1995-toyota-avalon-xls-great/7079364935.html,1995 toyota avalon xls,1900,1995,,,,,gas,,,,clean,automatic,,https://images.craigslist.org/00i0i_1uyVfjenDwd_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/pleasanton-2016-toyota-avalon-sedan/7079067087.html,2016 Toyota Avalon,16998,2016,4T1BK1EB7GU206496,good,,fwd,other,82717,,,clean,automatic,sedan,https://images.craigslist.org/00w0w_2R1ElANxCja_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/rancho-cordova-2008-toyota-avalon-white/7079044999.html,2008 TOYOTA AVALON,3000,2008,4T1BK36B08U277115,good,6cylinders,fwd,gas,,white,mid-size,rebuilt,automatic,sedan,https://images.craigslist.org/00j0j_14AbWOo9kdq_600x450.jpg,
https://sfbay.craigslist.org/sfc/ctd/d/sacramento-2008-toyota-avalon-limited/7078941685.html,2008 Toyota AVALON LIMITED - NAVI - PARKING ASSIST - SUNROOF -,6988,2008,,excellent,6cylinders,fwd,gas,,silver,,clean,automatic,sedan,https://images.craigslist.org/00B0B_9VDfNtpgExK_600x450.jpg,
https://sfbay.craigslist.org/eby/cto/d/concord-1997-toyota-avalon-xls/7078796857.html,1997 toyota avalon,1300,1997,,fair,6cylinders,fwd,gas,290000,black,full-size,clean,automatic,sedan,https://images.craigslist.org/00k0k_eLrLoA4kMH3_600x450.jpg,
https://sfbay.craigslist.org/pen/cto/d/redwood-city-2001-toyota-avalon-xl/7078766446.html,2001 Toyota Avalon XL,2500,2001,,good,6cylinders,,gas,310000,,,clean,automatic,,https://images.craigslist.org/00707_YuzfFO2Z7i_600x450.jpg,
https://sfbay.craigslist.org/sfc/ctd/d/concord-2019-toyota-avalon-hybrid-xle/7078634928.html,2019 Toyota Avalon Hybrid,471,2019,4T1B21FB1KU008990,excellent,4cylinders,fwd,hybrid,6759,silver,,clean,automatic,sedan,https://images.craigslist.org/01313_7Ud3C2XK5ku_600x450.jpg,
https://sfbay.craigslist.org/sby/cto/d/san-jose-2004-toyota-avalon-xls-price/7078156003.html,2004 2004 toyota avalon xls,1900,2004,,good,,fwd,gas,243000,,,clean,automatic,,https://images.craigslist.org/00u0u_gFFQhNdFxua_600x450.jpg,
https://sfbay.craigslist.org/eby/ctd/d/concord-2019-toyota-avalon-hybrid-xle/7077938230.html,2019 Toyota Avalon Hybrid,471,2019,4T1B21FB1KU008990,excellent,4cylinders,fwd,hybrid,6759,silver,,clean,automatic,sedan,https://images.craigslist.org/00g0g_5wUBB4dH5ZK_600x450.jpg,
