url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/cto/d/cutten-2010-dodge-challenger-t/7076355355.html,2010 dodge challenger r/t,11500,2010,,excellent,8cylinders,rwd,gas,,custom,,clean,automatic,,https://images.craigslist.org/01616_AjnVo7aRui_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-2014-dodge-challenger-t-57l-v8/7079154081.html,2014 dodge challenger r/t,18500,2014,2C3CDYBT3EH101287,excellent,,rwd,gas,47500,black,,clean,manual,coupe,https://images.craigslist.org/00r0r_6v0sgLnYuzG_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-2014-dodge-challenger-t-57l-v8/7070320363.html,2014 dodge challenger r/t,18500,2014,2C3CDYBT3EH101287,excellent,,rwd,gas,47500,black,,clean,manual,coupe,https://images.craigslist.org/00r0r_6v0sgLnYuzG_600x450.jpg,
https://medford.craigslist.org/cto/d/wolf-creek-2010-dodge-challenger-35/7078162620.html,2010 Dodge Challenger,10900,2010,,,,,gas,,,,rebuilt,automatic,,https://images.craigslist.org/00p0p_1Bp9t4DN52V_600x450.jpg,
https://medford.craigslist.org/cto/d/grants-pass-2008-dodge-challenger-srt-8/7069379647.html,2008 dodge challenger srt8,23900,2008,,likenew,8cylinders,rwd,gas,17500,orange,,clean,automatic,coupe,https://images.craigslist.org/00Q0Q_aA9uJgGyor5_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-2019-dodge-challenger-sxt/7066241406.html,2019 dodge challenger sxt,29840,2019,,likenew,,,gas,7000,,,clean,automatic,,https://images.craigslist.org/00000_17Ldkw9GMoh_600x450.jpg,
https://chico.craigslist.org/cto/d/chico-2013-dodge-challenger-sxt/7079654760.html,2013 dodge challenger sxt,8800,2013,2C3DYAG2DH581874,excellent,6cylinders,rwd,gas,127725,white,,clean,automatic,coupe,https://images.craigslist.org/00n0n_caC2xZlGUjm_600x450.jpg,
https://chico.craigslist.org/cto/d/redding-2014-dodge-challenger-t/7079153151.html,2014 dodge challenger,18500,2014,2C3CDYBT3EH101287,excellent,,,gas,47500,black,,clean,manual,coupe,https://images.craigslist.org/00r0r_6v0sgLnYuzG_600x450.jpg,
https://chico.craigslist.org/cto/d/glenn-2011-dodge-challenger-srt8/7076789286.html,2011 dodge challenger srt8,27000,2011,,excellent,8cylinders,rwd,gas,23500,orange,mid-size,clean,automatic,coupe,https://images.craigslist.org/00n0n_6WjmMGJwtn7_600x450.jpg,
https://chico.craigslist.org/cto/d/redding-2014-dodge-challenger-t/7070331062.html,2014 dodge challenger,18500,2014,2C3CDYBT3EH101287,excellent,,,gas,47500,black,,clean,manual,coupe,https://images.craigslist.org/00r0r_6v0sgLnYuzG_600x450.jpg,
