url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/ctd/d/fortuna-2015-ford-150-xlt/7082193961.html,2015 ford f-150 xlt,26995,2015,1FTEW1CP1FKE50465,excellent,6cylinders,rwd,gas,52146,white,,clean,automatic,truck,https://images.craigslist.org/00l0l_8qO874CeE12_600x450.jpg,
https://humboldt.craigslist.org/cto/d/orick-1995-ford-x4/7081724419.html,1995 Ford F-150,5900,1995,,excellent,8cylinders,4wd,gas,189000,red,,clean,automatic,pickup,https://images.craigslist.org/00o0o_98U6aHPVVZX_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/redding-2010-f150-xltclean-crew/7079832574.html,2010 Ford F-150 XLT,10990,2010,1FTFW1EV5AKA58890,,8cylinders,4wd,other,185085,black,,clean,automatic,pickup,https://images.craigslist.org/00L0L_2TfG3fCsaKx_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2015-ford-150-xlt/7077381474.html,2015 ford f-150 xlt,26995,2015,1FTEW1CP1FKE50465,excellent,6cylinders,rwd,gas,52146,white,,clean,automatic,truck,https://images.craigslist.org/00l0l_8qO874CeE12_600x450.jpg,
https://humboldt.craigslist.org/cto/d/crescent-city-1994-ford-150-xlt/7072651692.html,1994 Ford F-150 XLT,3200,1994,,good,6cylinders,rwd,gas,127700,white,full-size,clean,manual,truck,,
https://humboldt.craigslist.org/ctd/d/eureka-2017-ford-150-xl-4x4-ladder-rack/7071180373.html,2017 Ford F-150 XL 4x4 w/Ladder Rack,26995,2017,1FTMF1E81HKD43677,,,4wd,other,41622,white,,clean,automatic,pickup,https://images.craigslist.org/00t0t_9hWZLnZzT5S_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2015-ford-150-xlt/7069752327.html,2015 ford f-150 xlt,26995,2015,1FTEW1CP1FKE50465,excellent,6cylinders,rwd,gas,52146,white,,clean,automatic,truck,https://images.craigslist.org/00l0l_8qO874CeE12_600x450.jpg,
https://humboldt.craigslist.org/cto/d/fortuna-2001-f150-supercrew-4x4/7069624385.html,2001 ford f-150,3800,2001,,good,8cylinders,4wd,gas,,white,full-size,clean,automatic,truck,https://images.craigslist.org/00y0y_3eNj6XRr5Ff_600x450.jpg,
https://humboldt.craigslist.org/cto/d/eureka-1996-ford-150/7069300598.html,1996 Ford F-150,3500,1996,,good,8cylinders,4wd,gas,181000,,,clean,manual,pickup,https://images.craigslist.org/00000_922TsFzQVQE_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/citrus-heights-2016-ford-150-f-xlt-love/7068643943.html,2016 FORD F-150,26999,2016,1FTEW1EP9GKD57529,,,4wd,gas,49988,black,,clean,automatic,pickup,https://images.craigslist.org/00x0x_dnq6rzxZFeh_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/citrus-heights-2018-ford-150-f-xlt-love/7068632844.html,2018 FORD F-150,27898,2018,1FTEW1EP3JKE45581,,,4wd,gas,31525,silver,,clean,automatic,pickup,https://images.craigslist.org/00E0E_4n64cqttpKh_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/eureka-2011-ford-150-xl/7068563001.html,2011 Ford F-150 XL,14995,2011,1FTEX1CM2BKD22619,,,rwd,other,112912,white,,clean,automatic,pickup,https://images.craigslist.org/00T0T_gQCZN1vBxx0_600x450.jpg,
https://humboldt.craigslist.org/cto/d/mckinleyville-xlt-lariat-only-109k-miles/7066997449.html,1991 Ford F-150 XLT,3000,1991,,excellent,8cylinders,rwd,gas,109000,,,clean,automatic,pickup,https://images.craigslist.org/00A0A_d8ww3aHquzW_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/eureka-2016-ford-150-xlt-4x4/7065576444.html,2016 Ford F-150 XLT 4x4,31995,2016,1FTEW1EP5GKE25518,,,4wd,gas,48614,white,,clean,automatic,pickup,https://images.craigslist.org/00S0S_dJtvO1VnJxZ_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2013-ford-150-4x4-4wd-f150/7082131436.html,2013 Ford F-150 FX4LARIAT,0,,1FTFX1EF4DFA70449,,8cylinders,4wd,gas,62411,,,clean,automatic,,https://images.craigslist.org/00k0k_7iw2HX49A6b_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2014-ford-150-f150-truck-crew/7082038434.html,2014 Ford F-150,0,,1FTFW1CF8EKE01709,,8cylinders,rwd,gas,84680,,,clean,automatic,,https://images.craigslist.org/00a0a_qIruqtza3O_600x450.jpg,
https://redding.craigslist.org/ctd/d/yuba-city-2006-ford-150-4x4-2-previous/7081739009.html,2006 Ford F-150 XLT SuperCrew 4x4 SB,10995,2006,,excellent,8cylinders,4wd,gas,136297,silver,full-size,clean,automatic,truck,https://images.craigslist.org/00909_coLs6PmwpFT_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2013-ford-150-4x4-4wd-f150/7081540138.html,2013 Ford F-150,0,,1FTFW1ET4DKE73573,,6cylinders,4wd,gas,40186,,,clean,automatic,,https://images.craigslist.org/01212_h7nbZEF7xBY_600x450.jpg,
