url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/cto/d/eureka-gmc-sierra-c2500/7082534055.html,2002 2002 GMC Sierra C2500,6500,2002,,good,8cylinders,,gas,121062,,full-size,clean,automatic,pickup,,
https://humboldt.craigslist.org/cto/d/redway-2004-gmc-2500hd-sierra-slt/7081752678.html,2004 GMC 2500 HD sierra,18000,2004,,good,8cylinders,4wd,diesel,242,silver,,clean,automatic,,https://images.craigslist.org/00505_cLlFQeBBdzI_600x450.jpg,
https://humboldt.craigslist.org/cto/d/eureka-2017-gmc-sierra-1500-denali/7081238234.html,2017 Gmc sierra 1500,50000,2017,,likenew,8cylinders,4wd,gas,29700,blue,full-size,clean,automatic,truck,https://images.craigslist.org/00s0s_1IMONZlNc5V_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2016-gmc-4x4-sierra-crew-cab/7076972173.html,2016 2016 GMC Sierra 1500 Denali 4x4,0,,3GTU2PEC2GG270473,likenew,8cylinders,4wd,gas,12853,grey,full-size,clean,automatic,pickup,https://images.craigslist.org/00g0g_58jyCPei1Dt_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2015-gmc-sierra-2500hd-slt-crew/7075577676.html,2015 GMC Sierra 2500HD 4x4,0,,1GT12ZEG4FF671878,likenew,8cylinders,4wd,gas,51867,grey,full-size,clean,automatic,pickup,https://images.craigslist.org/01414_6VVpDNF7adx_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/citrus-heights-2010-gmc-sierra-1500-sl/7066282497.html,2010 GMC SIERRA,13999,2010,1GTSKUEA5AZ111233,,,4wd,other,122619,white,,clean,automatic,pickup,https://images.craigslist.org/00b0b_k5DsbGz6efj_600x450.jpg,
https://redding.craigslist.org/ctd/d/rocklin-2018-gmc-sierra-l-v8-only-5k/7082933225.html,2018 GMC Sierra 1500,24980,2018,1GTN1LEC8JZ904876,,8cylinders,,gas,5109,white,,clean,automatic,pickup,https://images.craigslist.org/00X0X_i4jBzmwCGup_600x450.jpg,
https://redding.craigslist.org/ctd/d/yuba-city-2005-gmc-sierra-l-turbo/7082919935.html,2005 GMC Sierra 3500 SRW SLE 4x4 LB,13995,2005,,excellent,8cylinders,4wd,diesel,239420,,full-size,clean,automatic,truck,https://images.craigslist.org/00g0g_3MfoHxx5dAe_600x450.jpg,
https://redding.craigslist.org/cto/d/cottonwood-1996-gmc-cab-4x4-truck/7082515548.html,1996 1996 GMC X-Cab SIERRA TRUCK,3000,1996,2GTEK19R5T1500803,good,8cylinders,,gas,265,brown,full-size,clean,automatic,,https://images.craigslist.org/00q0q_dzU9VEl4GOI_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-2011-gmc-sierra-1500-crewcab/7082478520.html,2011 gmc sierra 1500,12911,2011,3GTP2VE30BG359890,excellent,8cylinders,4wd,gas,196241,silver,,clean,automatic,truck,https://images.craigslist.org/00q0q_kFB83DmaE3O_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2005-gmc-sierra-1500-ext-cab/7082424135.html,2005 GMC Sierra 1500 4x4 Z71 V8 5.3L,11900,2005,1GTEK19B85E281291,,,4wd,gas,129000,,,clean,automatic,pickup,https://images.craigslist.org/00s0s_dErJTBdpQJI_600x450.jpg,
https://redding.craigslist.org/ctd/d/2018-gmc-sierra-l-v8-only-14k-miles/7082234284.html,2018 GMC Sierra 1500,24980,2018,1GTN1LEC2JZ900046,,8cylinders,,gas,14148,white,,clean,automatic,pickup,https://images.craigslist.org/00i0i_l7ESGxWl4G4_600x450.jpg,
https://redding.craigslist.org/cto/d/cottonwood-super-clean-gmc-4x4-2003/7082142929.html,2003 gmc sierra 1500,8400,2003,,likenew,8cylinders,4wd,gas,191500,black,full-size,salvage,automatic,pickup,https://images.craigslist.org/00y0y_dGydRTv3mxC_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2013-gmc-sierra-1500-crew-cab/7081609372.html,2013 gmc sierra 1500 crew cab sle,17995,2013,,,,,gas,142453,,,clean,automatic,,https://images.craigslist.org/00Q0Q_k45DkB9lKaM_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-2003-gmc-sierra-2500hd-sle-4x4/7081124129.html,2003 GMC Sierra 2500HD,18000,2003,,excellent,8cylinders,4wd,gas,97500,blue,full-size,clean,automatic,truck,https://images.craigslist.org/00k0k_f9bKmuUu0TF_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2007-gmc-sierra-l-lbz/7080612119.html,2007 GMC Sierra 2500 Diesel 4x4 6.6L,22950,2007,1GTHK23D67F108329,,,4wd,diesel,182000,grey,,clean,automatic,pickup,https://images.craigslist.org/01414_cYmsMciYAPP_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2015-gmc-sierra-1500-sle-4x4/7080357376.html,2015 GMC SIERRA,23508,2015,3GTU2UEC6FG354213,,,4wd,gas,109000,black,,clean,automatic,pickup,https://images.craigslist.org/01111_fAjdPYpzvUs_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2012-gmc-sierra-1500-sle-4x4/7080347318.html,2012 GMC SIERRA,19590,2012,3GTP2VE77CG270368,,,4wd,other,89700,silver,,clean,automatic,pickup,https://images.craigslist.org/01616_aMeqDdaJOBF_600x450.jpg,
