url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/ctd/d/eureka-2017-honda-fit-lx/7079321477.html,2017 Honda Fit LX,12995,2017,3HGGK5G57HM701586,,,fwd,gas,55611,yellow,,clean,manual,hatchback,https://images.craigslist.org/00l0l_4eDtwMoJuED_600x450.jpg,
https://humboldt.craigslist.org/cto/d/arcata-2007-honda-fit-sport/7075600194.html,2007 honda fit,6700,2007,,good,4cylinders,fwd,gas,121000,orange,compact,clean,automatic,hatchback,https://images.craigslist.org/00F0F_jm07YWSDeXj_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2016-honda-fit-lx-hatchback/7075578739.html,2016 2016 Honda FIT LX Hatchback,0,,JHMGK5H58GS006048,likenew,4cylinders,fwd,gas,3885,grey,mid-size,clean,automatic,hatchback,https://images.craigslist.org/00j0j_c2wt24QmxBt_600x450.jpg,
https://redding.craigslist.org/cto/d/rio-oso-2016-honda-fit/7081881254.html,2016 Honda Fit,8950,2016,,,,,gas,,,,salvage,automatic,,https://images.craigslist.org/00W0W_5Mul3YlG2mW_600x450.jpg,
https://redding.craigslist.org/cto/d/rio-oso-2016-honda-fit/7075893194.html,2016 Honda Fit,8950,2016,,,,,gas,,,,salvage,automatic,,https://images.craigslist.org/00W0W_5Mul3YlG2mW_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2015-honda-fit/7073404463.html,2015 Honda Fit EX,11995,2015,3HGGK5G89FM751624,,4cylinders,fwd,gas,53377,purple,,clean,manual,hatchback,https://images.craigslist.org/00U0U_fLeSgd3qspN_600x450.jpg,
https://redding.craigslist.org/cto/d/rio-oso-2016-honda-fit/7070009714.html,2016 Honda Fit,9950,2016,,,,,gas,,,,salvage,automatic,,https://images.craigslist.org/00W0W_5Mul3YlG2mW_600x450.jpg,
https://mendocino.craigslist.org/cto/d/calpella-honda-fit-sport/7065050977.html,2009 honda fit sport,5500,2009,,good,4cylinders,fwd,gas,140000,blue,compact,clean,manual,hatchback,https://images.craigslist.org/00h0h_gywitGnCO7s_600x450.jpg,
https://medford.craigslist.org/cto/d/port-orford-2010-honda-fit/7082229277.html,2010 Honda Fit,7500,2010,,good,4cylinders,rwd,gas,48800,red,compact,clean,manual,hatchback,https://images.craigslist.org/00O0O_citBjsv1QBV_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2013-honda-fit-5dr-hb-auto-sport/7080018225.html,2013 Honda Fit,7948,2013,JHMGE8H59DC002685,,4cylinders,,gas,142313,,,clean,automatic,,https://images.craigslist.org/00m0m_9HPKC31uryE_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2010-honda-fit/7077735941.html,2010 Honda fit hatchback,6699,2010,JHMGE8H44AS004174,excellent,4cylinders,fwd,gas,153171,blue,compact,clean,automatic,hatchback,https://images.craigslist.org/00h0h_gIZgTVNTsMA_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2010-honda-fit-5dr-hb-auto/7077614025.html,2010 Honda Fit,0,,JHMGE8H41AC014896,,4cylinders,fwd,gas,85310,,,clean,automatic,sedan,https://images.craigslist.org/01313_aBeGTXIopG4_600x450.jpg,
https://medford.craigslist.org/ctd/d/grants-pass-2012-honda-fit-hatchback-4d/7072717006.html,2012 Honda Fit,9476,2012,JHMGE8G33CC034191,,,,other,49579,red,,clean,manual,,https://images.craigslist.org/00F0F_7UFXkH62nwF_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2010-honda-fit-5dr-hb-auto/7070144637.html,2010 Honda Fit,0,,JHMGE8H44AC020305,,4cylinders,fwd,gas,129697,,,clean,automatic,sedan,https://images.craigslist.org/00404_4lkwvlo0yoH_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2015-honda-fit-5dr-hb-cvt-ex/7067403696.html,2015 Honda Fit,13984,2015,3HGGK5H83FM777523,,4cylinders,,gas,32374,,,clean,other,,https://images.craigslist.org/00404_5nzGicn8H83_600x450.jpg,
https://chico.craigslist.org/ctd/d/fair-oaks-2010-honda-fit-sport-4dr/7074723434.html,2010 HONDA FIT,5888,2010,JHMGE8H42AC015703,,,,gas,160266,blue,compact,clean,automatic,hatchback,https://images.craigslist.org/00U0U_86tXUP7zzdt_600x450.jpg,
https://chico.craigslist.org/ctd/d/chico-2012-honda-fit-base/7065181777.html,2012 Honda Fit,0,,JHMGE8H3XCC030539,,,fwd,gas,93886,silver,,clean,automatic,hatchback,https://images.craigslist.org/01717_2auC2sOSIeZ_600x450.jpg,
https://klamath.craigslist.org/ctd/d/klamath-falls-2013-honda-fit-5dr-hb/7070938181.html,2013 Honda Fit,0,,JHMGE8H50DC008763,,4cylinders,fwd,gas,204150,white,,clean,other,sedan,https://images.craigslist.org/00s0s_akb1YqF2UYf_600x450.jpg,
