url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/cto/d/cutten-2007-honda-pilot-ex-4x4/7081208258.html,2007 honda pilot EX-L,8975,2007,,excellent,6cylinders,4wd,gas,133000,silver,mid-size,clean,automatic,SUV,https://images.craigslist.org/00404_kXx2w6okVd4_600x450.jpg,
https://humboldt.craigslist.org/cto/d/mckinleyville-honda-pilot-2006-ex-2wd/7078601169.html,2006 honda pilot ex-l,3900,2006,5FNYF28696B010784,good,6cylinders,fwd,gas,222610,grey,sub-compact,clean,automatic,SUV,https://images.craigslist.org/00V0V_dnArx3MW3jG_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2019-honda-pilot-ex-8-passenger/7073293570.html,2019 Honda Pilot EX  AWD,0,,5FNYF6H32KB065780,likenew,6cylinders,4wd,gas,2,silver,full-size,clean,automatic,SUV,https://images.craigslist.org/00808_9KwrNYdfNfR_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2011-honda-pilot-4wd-4dr/7078687370.html,2011 Honda Pilot,13999,2011,5FNYF4H90BB072008,excellent,6cylinders,4wd,gas,138825,,full-size,clean,automatic,SUV,https://images.craigslist.org/01616_7kcNNE5bXgp_600x450.jpg,
https://redding.craigslist.org/ctd/d/artois-2014-honda-pilot-2wd-4dr-lx/7077787206.html,2014 Honda Pilot,17995,2014,5FNYF3H24EB002657,excellent,6cylinders,fwd,gas,67125,grey,,clean,automatic,SUV,https://images.craigslist.org/00o0o_3k7C8IJ38f0_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2011-honda-pilot-touring/7077341736.html,2011 honda pilot touring,13995,2011,,,,,gas,121474,,,clean,automatic,,https://images.craigslist.org/00X0X_iuohT5ecBX8_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2013-honda-pilot-4x4-4wd/7073234531.html,2013 Honda Pilot,0,,5FNYF4H96DB050517,,6cylinders,4wd,gas,115334,,,clean,automatic,SUV,https://images.craigslist.org/00k0k_b1M33aNWXIG_600x450.jpg,
https://redding.craigslist.org/ctd/d/shasta-lake-2009-honda-pilot-35l-vtec/7071106591.html,2009 honda pilot,5999,2009,,excellent,6cylinders,,gas,195929,,,clean,automatic,SUV,https://images.craigslist.org/00B0B_kXO5CxzmaAq_600x450.jpg,
https://redding.craigslist.org/ctd/d/carmichael-2009-honda-pilot-touring/7070562440.html,2009 Honda Pilot,9466,2009,5FNYF38989B009601,excellent,,fwd,gas,160084,white,,clean,automatic,SUV,https://images.craigslist.org/00l0l_2K4pcgLMzKn_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-2014-honda-pilot-ex-awd/7070188905.html,2014 Honda Pilot EX-L,15900,2014,,excellent,6cylinders,4wd,gas,107000,grey,full-size,clean,automatic,SUV,https://images.craigslist.org/00A0A_jMh3BNJ4fMU_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-2004-honda-pilot/7069684389.html,2004 Honda Pilot,800,2004,,fair,6cylinders,4wd,gas,,silver,,clean,automatic,SUV,https://images.craigslist.org/00S0S_6eZFsSuUBa7_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2012-honda-pilot-4wd-4dr/7068385687.html,2012 Honda Pilot,18995,2012,5FNYF4H91CB051251,,6cylinders,4wd,gas,79425,black,,clean,automatic,SUV,https://images.craigslist.org/00o0o_735AmY3jwSH_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2013-honda-pilot-4x4-4wd/7068165699.html,2013 Honda Pilot,0,,5FNYF4H96DB050517,,6cylinders,4wd,gas,115334,,,clean,automatic,truck,https://images.craigslist.org/00k0k_b1M33aNWXIG_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2005-honda-pilot-ex-4dr-4wd/7067174541.html,2005 Honda Pilot,0,,,excellent,,4wd,gas,,blue,,clean,automatic,SUV,https://images.craigslist.org/00J0J_iznK9doqEzf_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2014-honda-pilot-touring-4x4/7066874862.html,2014 HONDA PILOT,20777,2014,5FNYF4H96EB042662,,,4wd,gas,98788,,,clean,automatic,SUV,https://images.craigslist.org/00b0b_5PKha1TTDB1_600x450.jpg,
https://medford.craigslist.org/ctd/d/central-point-2007-honda-pilot-ex-4wd/7082853905.html,2007 honda pilot ex-l,9499,2007,2HKYF18577H524847,excellent,6cylinders,4wd,gas,159000,grey,mid-size,clean,automatic,SUV,https://images.craigslist.org/00k0k_ciMOJJ7zwTm_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2008-honda-pilot-awd-3rd-row/7082151745.html,2008 Honda Pilot,4999,2008,,excellent,6cylinders,4wd,gas,,,,clean,automatic,,https://images.craigslist.org/00404_6r0oinKkHlO_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2005-honda-pilot-awd/7081603152.html,2005 HONDA PILOT AWD,4999,2005,,,,,gas,154000,,,clean,automatic,,https://images.craigslist.org/01313_148v3MThLQT_600x450.jpg,
https://medford.craigslist.org/ctd/d/portland-2004-honda-pilot-4wd-ex-auto/7080333770.html,2004 Honda Pilot,4595,2004,2HKYF186X4H611839,excellent,6cylinders,4wd,gas,,white,,clean,automatic,SUV,https://images.craigslist.org/00J0J_dIRj6RTDAB1_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2011-honda-pilot-ex-4wd-5-spd-at/7080149294.html,2011 Honda Pilot EX-L 4WD 5-Spd AT,11398,2011,5FNYF4H59BB047928,,,4wd,gas,159047,brown,,clean,automatic,SUV,https://images.craigslist.org/00H0H_1MtHerxGhiN_600x450.jpg,
https://medford.craigslist.org/cto/d/shady-cove-2006-honda-pilot/7079889664.html,2006 Honda Pilot,6500,2006,,excellent,,4wd,gas,198000,silver,mid-size,clean,automatic,SUV,https://images.craigslist.org/00000_l3a9dAaEMW_600x450.jpg,
https://medford.craigslist.org/ctd/d/grants-pass-2015-honda-pilot-4wd-4dr-lx/7079218665.html,2015 Honda Pilot,15999,2015,5FNYF4H27FB030993,excellent,6cylinders,4wd,gas,124065,grey,,clean,automatic,SUV,https://images.craigslist.org/00101_65b1SG0pFFX_600x450.jpg,
https://medford.craigslist.org/ctd/d/grants-pass-2011-honda-pilot-4wd-4dr-ex/7078726481.html,2011 Honda Pilot,15999,2011,5FNYF4H5XBB073826,excellent,6cylinders,4wd,gas,111458,black,,clean,automatic,SUV,https://images.craigslist.org/00X0X_5bj9WzZEWH1_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2005-honda-pilot-awd/7078339347.html,2005 HONDA PILOT AWD,4999,2005,,,,,gas,154000,,,clean,automatic,,https://images.craigslist.org/01313_148v3MThLQT_600x450.jpg,
https://medford.craigslist.org/ctd/d/murphy-2010-honda-pilot-exl/7078016831.html,2010 Honda Pilot,8900,2010,,excellent,6cylinders,fwd,gas,164000,white,mid-size,clean,automatic,,https://images.craigslist.org/00404_a8JkbDbiuJW_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-honda-pilot-all-wheel-drive-3rd/7077742802.html,2009 HONDA PILOT,9499,2009,5FNYF48529B031855,excellent,6cylinders,4wd,gas,172517,blue,full-size,clean,automatic,SUV,https://images.craigslist.org/00N0N_kUrFGdcLLPw_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2011-honda-pilot-ex-4wd-5-spd-at/7075693548.html,2011 Honda Pilot EX-L 4WD 5-Spd AT,11398,2011,5FNYF4H59BB047928,,,4wd,gas,159047,brown,,clean,automatic,SUV,https://images.craigslist.org/00H0H_1MtHerxGhiN_600x450.jpg,
