url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,
https://humboldt.craigslist.org/cto/d/mckinleyville-1997-jeep-wrangler-tj/7077341879.html,1997 jeep wrangler,6500,1997,,good,4 cylinders,4wd,gas,,green,,clean,manual,offroad,
https://humboldt.craigslist.org/cto/d/eureka-2008-jeep-wrangler-excellent/7064294216.html,2008 jeep wrangler,21000,2008,,excellent,6 cylinders,4wd,gas,178000,silver,full-size,clean,manual,offroad,
https://humboldt.craigslist.org/cto/d/mckinleyville-93-jeep-wrangler/7063023425.html,1993 jeep wrangler 4x4,4500,1993,,,,,gas,,,,clean,manual,,
https://humboldt.craigslist.org/cto/d/eureka-2013-jeep-wrangler-4d-unlimited/7061090978.html,2013 jeep wrangler,29000,2013,,like new,,,gas,,,,clean,automatic,,
https://redding.craigslist.org/cto/d/igo-2002-jeep-wrangler/7077252755.html,2002 jeep wrangler,4500,2002,1j4fa39s62p771287,good,6 cylinders,4wd,gas,,black,,clean,manual,offroad,
https://redding.craigslist.org/cto/d/red-bluff-jeep-wrangler-sport/7075000732.html,1997 jeep wrangler sport,1,1997,,good,6 cylinders,4wd,gas,,red,,clean,automatic,,
https://redding.craigslist.org/cto/d/anderson-jeep-jk-wrangler-rubicon/7073728304.html,2008 2008 Jeep JK Wrangler Rubicon,19500,2008,,excellent,6 cylinders,4wd,gas,26707,blue,mid-size,clean,automatic,SUV,
https://redding.craigslist.org/cto/d/shasta-lake-1995-jeep-wrangler/7072440314.html,1995 jeep wrangler,4500,1995,,fair,4 cylinders,4wd,gas,220000,green,,clean,manual,,
https://redding.craigslist.org/cto/d/anderson-2010-jeep-wrangler-unlimited/7072010995.html,2010 jeep wrangler unlimited,18000,2010,,excellent,6 cylinders,4wd,gas,108000,orange,full-size,clean,automatic,offroad,
https://redding.craigslist.org/cto/d/redding-1989-jeep-wrangler-yj-4x4/7069947300.html,1989 Jeep Wrangler YJ,7500,1989,,excellent,6 cylinders,4wd,gas,140000,white,,clean,manual,,
https://redding.craigslist.org/cto/d/redding-2008-jeep-wrangler/7069263913.html,2008 jeep wrangler,10000,2008,,excellent,6 cylinders,4wd,gas,,grey,,clean,automatic,,
https://redding.craigslist.org/cto/d/emeryville-black-2018-jeep-wrangler-jk/7065358288.html,2018 jeep wrangler unlimited sahara,30000,2018,1C4BJWEG8JL937564,like new,6 cylinders,4wd,gas,40000,black,full-size,clean,automatic,SUV,
https://redding.craigslist.org/cto/d/chico-1989-jeep-yj/7065052026.html,1989 jeep wrangler,8500,1989,,excellent,6 cylinders,4wd,gas,140000,white,,clean,manual,,
https://redding.craigslist.org/cto/d/redding-2008-jeep-wrangler-2-door-silver/7064050093.html,2008 jeep wrangler 2dr x,15000,2008,,excellent,6 cylinders,4wd,gas,122000,silver,compact,clean,automatic,offroad,
https://redding.craigslist.org/cto/d/cottonwood-2001-jeep-wrangler/7063568081.html,2011 Jeep Wrangler,10000,2011,,good,4 cylinders,,gas,,yellow,,clean,automatic,,
https://siskiyou.craigslist.org/cto/d/mount-shasta-2005-jeep-wrangler/7077972359.html,2005 jeep wrangler 4x4,10500,2005,1J4FA29105P367729,excellent,4 cylinders,4wd,gas,30400,grey,compact,clean,manual,SUV,
https://mendocino.craigslist.org/cto/d/kelseyville-selling-2013-jeep-wrangler/7077873047.html,2013 jeep wrangler unlimited sport,27000,2013,,good,,,gas,102000,,,clean,automatic,,
https://mendocino.craigslist.org/cto/d/emeryville-black-2018-jeep-wrangler-jk/7065363284.html,2018 jeep wrangler unlimited sahara,30000,2018,1C4BJWEG8JL937564,like new,6 cylinders,4wd,gas,40000,black,full-size,clean,manual,SUV,
https://mendocino.craigslist.org/cto/d/laytonville-2001-jeep-wrangler-tj/7063697865.html,2001 jeep wrangler,5000,2001,,,,,gas,,,,clean,manual,,
https://medford.craigslist.org/cto/d/medford-2000-jeep-wrangler-tj/7078309118.html,2000 Jeep Wrangler TJ,7850,2000,,good,6 cylinders,4wd,gas,116100,green,,clean,automatic,,
https://medford.craigslist.org/cto/d/medford-jeep-wrangler-unlimited-rubicon/7078073518.html,2008 jeep wrangler rubicon,31500,2008,,,6 cylinders,4wd,gas,15500,green,,clean,manual,SUV,
https://medford.craigslist.org/cto/d/medford-custom-2013-jeep-rubicon/7076777273.html,2013 jeep wrangler unlimited rubicon,79900,2013,,like new,8 cylinders,4wd,gas,21000,black,full-size,clean,automatic,offroad,
https://medford.craigslist.org/cto/d/grants-pass-1995-jeep-yj-4x4-5000/7075582895.html,1995 jeep wrangler yj,5000,1995,,,,,gas,,,,clean,automatic,,
https://medford.craigslist.org/cto/d/white-city-2010-jeep-wrangler/7074769349.html,2010 jeep wrangler,13950,2010,,excellent,6 cylinders,4wd,gas,150000,,,clean,automatic,SUV,
https://medford.craigslist.org/cto/d/grants-pass-1988-jeep-wrangler-yj/7073673722.html,1988 jeep wrangler,4000,1988,2BCCV81J4JB505898,good,6 cylinders,4wd,gas,200000,brown,mid-size,clean,manual,SUV,
https://medford.craigslist.org/cto/d/gold-hill-jeep-wrangler-tj-rocky/7072026784.html,2005 jeep wrangler,12900,2005,1J4FA39S25P372221,excellent,6 cylinders,4wd,gas,78941,silver,,clean,manual,SUV,
https://medford.craigslist.org/cto/d/cave-junction-wrangler-tj-98/7071795552.html,1998 jeep wrangler sport,16000,1998,,excellent,6 cylinders,4wd,gas,,green,mid-size,clean,manual,SUV,
https://medford.craigslist.org/cto/d/gold-hill-2014-jeep-wrangler/7071190771.html,2014 jeep wrangler,24000,2014,,excellent,6 cylinders,4wd,gas,86000,grey,full-size,clean,automatic,SUV,
https://medford.craigslist.org/cto/d/grants-pass-gorgeous-2014-jeep-sahara/7070871143.html,2014 Jeep Wrangler Sahara JK,23750,2014,,like new,6 cylinders,4wd,gas,99000,red,compact,clean,manual,SUV,
https://medford.craigslist.org/cto/d/wolf-creek-2002-jeep-wrangler-sport/7069829021.html,2002 jeep wrangler,13500,2002,,excellent,6 cylinders,4wd,gas,71000,black,mid-size,clean,manual,offroad,
https://medford.craigslist.org/cto/d/grants-pass-jeep-wrangler-unlimited/7068962901.html,2014 jeep wrangler unlimited,34000,2014,1C4BJWFGXEL167324,like new,6 cylinders,4wd,gas,58000,grey,mid-size,clean,automatic,SUV,
https://medford.craigslist.org/cto/d/grants-pass-1990-jeep-wrangler/7065724278.html,1990 Jeep Wrangler,5600,1990,,good,6 cylinders,4wd,gas,92000,,,clean,manual,,
https://medford.craigslist.org/cto/d/ashland-1991-jp-jeep-wrangler/7061906175.html,1991 Jeep Wrangler,4500,1991,,good,6 cylinders,4wd,gas,193000,red,,salvage,manual,other,
https://chico.craigslist.org/cto/d/stirling-city-clean-2001-jeep-wrangler/7076267645.html,2001 jeep wrangler,11000,2001,1J4FA49SX1P307682,excellent,6 cylinders,4wd,gas,124000,red,compact,clean,automatic,SUV,
https://chico.craigslist.org/cto/d/palermo-2001-jeep-wrangler/7074458626.html,2001 jeep wrangler sport,14000,2001,,,,,gas,130000,,,clean,manual,,
https://chico.craigslist.org/cto/d/oroville-2015-jeep-wrangler/7074346771.html,2015 jeep wrangler unlimited,30000,2015,,like new,6 cylinders,4wd,gas,66000,silver,,clean,automatic,offroad,
https://chico.craigslist.org/cto/d/oroville-2015-jeep-wrangler/7069410126.html,2015 jeep wrangler unlimited,30000,2015,,like new,6 cylinders,4wd,gas,66000,silver,,clean,automatic,offroad,
https://chico.craigslist.org/cto/d/palermo-1989-jeep-wrangler-v6-with-4wd/7067823766.html,1989 1989 jeep wrangler,5000,1989,,good,6 cylinders,4wd,gas,204627,white,mid-size,clean,manual,SUV,
https://chico.craigslist.org/cto/d/chester-1997-jeep-wrangler-rock-crawler/7067794021.html,1997 1997 jeep wrangler,16000,1997,,excellent,6 cylinders,4wd,gas,100000,red,,clean,automatic,,
https://chico.craigslist.org/cto/d/chico-2002-jeep-wrangler/7066279004.html,2002 jeep wrangler,14900,2002,,good,6 cylinders,4wd,gas,103000,silver,compact,clean,manual,truck,
https://chico.craigslist.org/cto/d/redding-2008-jeep-rubicon-wrangler/7065298716.html,2008 jeep wrangler unlimited,20000,2008,,,6 cylinders,,gas,,,,salvage,automatic,,
https://chico.craigslist.org/cto/d/chico-2006-white-jeep-wrangler/7063932733.html,2006 2006 jeep wrangler,12000,2006,,good,6 cylinders,4wd,gas,130000,white,compact,clean,automatic,offroad,
https://chico.craigslist.org/cto/d/palermo-2001-jeep-wrangler/7061792494.html,2001 jeep wrangler sport,14000,2001,,,,,gas,130000,,,clean,manual,,
https://chico.craigslist.org/cto/d/oroville-2000-jeep-wrangler-sport-ph/7061496874.html,2000 jeep wrangler,6500,2000,,good,6 cylinders,4wd,gas,219000,red,,clean,automatic,,
https://klamath.craigslist.org/cto/d/bonanza-89-jeep-wrangler-yj/7075886280.html,1989 jeep wrangler,4200,1989,,good,4 cylinders,4wd,gas,,white,,clean,manual,offroad,
