url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/ctd/d/eureka-2019-kia-sportage-lx-awd-backup/7069163634.html,2019 Kia Sportage LX AWD,0,,KNDPMCACXK7589808,likenew,4cylinders,4wd,gas,18955,red,mid-size,clean,automatic,SUV,https://images.craigslist.org/00z0z_3PdUMrExYBX_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2015-kia-sportage-lx-sport/7076191241.html,2015 Kia Sportage,9988,2015,KNDPB3AC0F7697155,excellent,,fwd,gas,78756,red,,clean,automatic,SUV,https://images.craigslist.org/00d0d_gf6CaH1ySLa_600x450.jpg,
https://redding.craigslist.org/ctd/d/proberta-2014-kia-sportage-lx-awd/7075408935.html,2014 Kia Sportage LX - AWD,11995,2014,KNDPBCAC0E7618517,excellent,,,gas,90828,white,,clean,automatic,SUV,https://images.craigslist.org/00d0d_7gbmAJQf9q_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2011-kia-sportage-awd-sport/7070518833.html,2011 Kia Sportage,14500,2011,KNDPCCA6XB7117993,excellent,,,gas,71116,red,,clean,automatic,,https://images.craigslist.org/00H0H_71YjH7bgsth_600x450.jpg,
https://redding.craigslist.org/ctd/d/proberta-2014-kia-sportage-lx-awd/7066644089.html,2014 Kia Sportage LX - AWD,11995,2014,KNDPBCAC0E7618517,excellent,,,gas,90828,white,,clean,automatic,SUV,https://images.craigslist.org/00d0d_7gbmAJQf9q_600x450.jpg,
https://siskiyou.craigslist.org/cto/d/yreka-2007-kia-sportage/7071271840.html,2007 2007 kia sportage,3000,2007,,excellent,4cylinders,fwd,gas,143000,blue,compact,clean,manual,SUV,https://images.craigslist.org/00M0M_5IPcOXttDyU_600x450.jpg,
https://mendocino.craigslist.org/cto/d/fort-bragg-2007-kia-sportage/7067965738.html,2007 Kia sportage,3500,2007,,good,4cylinders,fwd,gas,140345,green,sub-compact,clean,automatic,SUV,https://images.craigslist.org/00z0z_71VDqRPy2tK_600x450.jpg,
https://medford.craigslist.org/ctd/d/central-point-2014-kia-sportage-awd-4dr/7068967632.html,2014 Kia Sportage,16986,2014,KNDPCCA64E7667078,,4cylinders,4wd,gas,69938,white,,clean,automatic,SUV,https://images.craigslist.org/00T0T_8sTnYAl7gql_600x450.jpg,
https://medford.craigslist.org/ctd/d/central-point-2010-kia-sportage-4wd-4dr/7064383377.html,2010 Kia Sportage,5998,2010,KNDKGCA30A7705615,,6cylinders,4wd,gas,122429,white,,clean,automatic,SUV,https://images.craigslist.org/00101_3LB9RwdsiEP_600x450.jpg,
https://chico.craigslist.org/ctd/d/proberta-2014-kia-sportage-lx-awd/7079800059.html,2014 Kia Sportage LX - AWD,11995,2014,KNDPBCAC0E7618517,excellent,,,gas,90828,white,,clean,automatic,SUV,https://images.craigslist.org/00d0d_7gbmAJQf9q_600x450.jpg,
https://chico.craigslist.org/ctd/d/proberta-2014-kia-sportage-lx-awd/7071066711.html,2014 Kia Sportage LX - AWD,11995,2014,KNDPBCAC0E7618517,excellent,,,gas,90828,white,,clean,automatic,SUV,https://images.craigslist.org/00d0d_7gbmAJQf9q_600x450.jpg,
https://chico.craigslist.org/ctd/d/chico-2011-kia-sportage-awd/7067380431.html,2011 Kia Sportage,6950,2011,KNDPBCA29B7043840,excellent,4cylinders,4wd,gas,136807,silver,,clean,automatic,SUV,https://images.craigslist.org/00s0s_fsgX9jtfHfR_600x450.jpg,
