url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://redding.craigslist.org/ctd/d/anderson-2014-ram-door-quad-cab-57l/7082478783.html,2014 Ram Pickup 1500,12914,2014,1C6RR6FTXES121607,likenew,8cylinders,rwd,gas,134328,white,,clean,automatic,truck,https://images.craigslist.org/00a0a_ctD5gtfdaHt_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2019-ram-classic-crew-cab-big/7081831511.html,2019 Ram Ram Pickup 1500 Classic Big,29999,2019,1C6RR7TT1KS566582,,,4wd,gas,20465,white,,clean,automatic,pickup,https://images.craigslist.org/00F0F_iNV5EcsrEYm_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-2014-ram-door-quad-cab-57l/7079345218.html,2014 Ram Pickup 1500,12914,2014,1C6RR6FTXES121607,likenew,8cylinders,rwd,gas,134328,white,,clean,automatic,truck,https://images.craigslist.org/00a0a_ctD5gtfdaHt_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2019-ram-classic-crew-cab-big/7079342233.html,2019 Ram Ram Pickup 1500 Classic Big,29999,2019,1C6RR7TT1KS566582,,,4wd,gas,20465,white,,clean,automatic,pickup,https://images.craigslist.org/00N0N_7IaXoWh7R15_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-2014-ram-door-quad-cab-57l/7078714661.html,2014 Ram Pickup 1500,12914,2014,1C6RR6FTXES121607,likenew,8cylinders,rwd,gas,134328,white,,clean,automatic,truck,https://images.craigslist.org/00a0a_ctD5gtfdaHt_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2019-ram-classic-crew-cab-big/7078551620.html,2019 Ram Ram Pickup 1500 Classic Big,29999,2019,1C6RR7TT1KS566582,,,4wd,gas,20465,white,,clean,automatic,pickup,https://images.craigslist.org/00N0N_7IaXoWh7R15_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-2014-ram-door-quad-cab-57l/7078032414.html,2014 Ram Pickup 1500,12914,2014,1C6RR6FTXES121607,likenew,8cylinders,rwd,gas,134328,white,,clean,automatic,truck,https://images.craigslist.org/00a0a_ctD5gtfdaHt_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-2014-ram-door-quad-cab-57l/7075411959.html,2014 Ram Pickup 1500,12914,2014,1C6RR6FTXES121607,likenew,8cylinders,rwd,gas,134328,white,,clean,automatic,truck,https://images.craigslist.org/00a0a_ctD5gtfdaHt_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-2014-ram-door-quad-cab-57l/7074334149.html,2014 Ram Pickup 1500,12914,2014,1C6RR6FTXES121607,likenew,8cylinders,rwd,gas,134328,white,,clean,automatic,truck,https://images.craigslist.org/00a0a_ctD5gtfdaHt_600x450.jpg,
https://redding.craigslist.org/ctd/d/anderson-2014-ram-door-quad-cab-57l/7072696218.html,2014 Ram Pickup 1500,12914,2014,1C6RR6FTXES121607,likenew,8cylinders,rwd,gas,134328,white,,clean,automatic,truck,https://images.craigslist.org/00a0a_ctD5gtfdaHt_600x450.jpg,
