url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/cto/d/eureka-2010-subaru-forester-xt-turbo/7081654650.html,2010 subaru forester,7500,2010,,,,,gas,,,,lien,automatic,,https://images.craigslist.org/00909_k17oegmL5zh_600x450.jpg,
https://humboldt.craigslist.org/cto/d/eureka-2010-subaru-forester-25x-premium/7078698476.html,2010 subaru forester,6000,2010,Jf2sh6cc2ah742849,excellent,4cylinders,4wd,gas,,red,mid-size,clean,automatic,SUV,https://images.craigslist.org/00y0y_cg36WspE8BN_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2018-subaru-forester-20xt/7068887715.html,2018 SUBARU FORESTER TOURING,0,,JF2SJGWC2JH593803,likenew,4cylinders,4wd,gas,6389,white,mid-size,clean,automatic,SUV,https://images.craigslist.org/00t0t_fc6ssx9hDQ9_600x450.jpg,
https://humboldt.craigslist.org/cto/d/mckinleyville-2018-subaru-forester-xt/7067231564.html,2018 subaru forester xt,25700,2018,,excellent,4cylinders,4wd,gas,39555,silver,,clean,automatic,SUV,https://images.craigslist.org/00m0m_k3adIlmDeBq_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2017-subaru-forester-awd-all/7079688939.html,2017 Subaru Forester 2.5I,0,,JF2SJABC2HH470192,,4cylinders,4wd,gas,63974,,,clean,automatic,SUV,https://images.craigslist.org/00e0e_bNT8EGVNQzU_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2017-subaru-forester-awd-all/7076339429.html,2017 Subaru Forester,0,,JF2SJABC2HH470192,,4cylinders,4wd,gas,63974,,,clean,automatic,truck,https://images.craigslist.org/00e0e_bNT8EGVNQzU_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2016-subaru-forester-25i/7074216678.html,2016 subaru forester 2.5i,13995,2016,,,,,gas,104928,,,clean,automatic,,https://images.craigslist.org/01111_4aUKI0I15Fk_600x450.jpg,
https://redding.craigslist.org/ctd/d/artois-2017-subaru-forester-miles-1/7074195080.html,2017 Subaru Forester,22995,2017,JF2SJABC3HH582919,excellent,4cylinders,4wd,gas,16060,black,mid-size,clean,automatic,SUV,https://images.craigslist.org/00909_gLQ3yokYHIM_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2014-subaru-forester-6-speed/7068509783.html,2014 Subaru FORESTER 6 SPEED MANUAL TRANSMISSION - AWD -,8988,2014,,excellent,4cylinders,4wd,gas,,silver,,clean,manual,SUV,https://images.craigslist.org/00X0X_aJyTGIa0Riv_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2016-subaru-forester-navi/7068508397.html,2016 Subaru FORESTER - NAVI - REAR CAMERA - SUNROOF -,21988,2016,,excellent,4cylinders,4wd,gas,,grey,,clean,automatic,SUV,https://images.craigslist.org/00N0N_kW6uFucte78_600x450.jpg,
