url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/cto/d/fortuna-2015-subaru-impreza-wrx-premium/7078763267.html,2015 subaru impreza,22500,2015,JF1VA1D68F9824670,excellent,,,gas,58000,,,clean,manual,,https://images.craigslist.org/00N0N_6mYfOaD2IBt_600x450.jpg,
https://medford.craigslist.org/cto/d/white-city-subaru-impreza-25i-premium/7080514261.html,2008 subaru impreza 2.5i premium awd,8877,2008,,likenew,4cylinders,4wd,gas,97000,silver,mid-size,rebuilt,manual,sedan,https://images.craigslist.org/00h0h_Y30PJru4wY_600x450.jpg,
https://medford.craigslist.org/cto/d/ashland-subaru-impreza/7079943956.html,2010 subaru impreza,4000,2010,,good,4cylinders,,gas,167000,silver,,clean,manual,sedan,https://images.craigslist.org/00m0m_dvJRRbA89GI_600x450.jpg,
https://medford.craigslist.org/cto/d/white-city-subaru-impreza-25i-premium/7079156842.html,2008 subaru impreza 2.5i premium awd,8877,2008,,likenew,4cylinders,4wd,gas,97000,silver,mid-size,rebuilt,manual,sedan,https://images.craigslist.org/00h0h_Y30PJru4wY_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-2003-subaru-outback-impreza/7078529122.html,2003 subaru impreza,2900,2003,,good,,4wd,gas,217000,red,,clean,automatic,,https://images.craigslist.org/00g0g_3R4GokK8Alt_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-subaru-impreza-hatch-back-2011/7077029583.html,2011 subaru impreza,11500,2011,,likenew,4cylinders,4wd,gas,91000,white,full-size,rebuilt,manual,hatchback,https://images.craigslist.org/00e0e_eP0ArvPlCnv_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-2012-subaru-impreza-sti/7075636432.html,2012 subaru impreza sedan wrx sti,21000,2012,,likenew,4cylinders,4wd,gas,95032,grey,mid-size,clean,manual,sedan,https://images.craigslist.org/00303_2VJmo9Kd9D5_600x450.jpg,
https://medford.craigslist.org/cto/d/white-city-subaru-impreza-25i-premium/7073350814.html,2008 subaru impreza 2.5i premium awd,8877,2008,,likenew,4cylinders,4wd,gas,97000,silver,mid-size,rebuilt,manual,sedan,https://images.craigslist.org/00N0N_bKdFVCR8Ii5_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-2012-subaru-impreza/7070857207.html,2012 subaru impreza,7500,2012,,excellent,4cylinders,4wd,gas,,,,rebuilt,manual,hatchback,https://images.craigslist.org/00N0N_j8y1rJgJrmY_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-subaru-impreza-hatch-back-2011/7069782486.html,2011 subaru impreza,11500,2011,,likenew,4cylinders,4wd,gas,91000,white,full-size,rebuilt,manual,hatchback,https://images.craigslist.org/00e0e_eP0ArvPlCnv_600x450.jpg,
https://medford.craigslist.org/cto/d/grants-pass-2002-subaru-impreza-wrx/7066170916.html,2002 subaru impreza,8000,2002,,,,,gas,,,,clean,manual,,https://images.craigslist.org/00202_fN2jrUdCEZO_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-subaru-impreza-hatch-back-2011/7065271621.html,2011 subaru impreza,11500,2011,,likenew,4cylinders,4wd,gas,91000,white,full-size,rebuilt,manual,hatchback,https://images.craigslist.org/00N0N_3iHJ7imAmV_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-subaru-impreza/7064315414.html,2012 Subaru Impreza,9000,2012,,,,,gas,,,,clean,manual,,https://images.craigslist.org/00z0z_ihcvoFaRHyh_600x450.jpg,
https://medford.craigslist.org/cto/d/white-city-subaru-impreza-25i-premium/7063652131.html,2008 subaru impreza 2.5i premium awd,8877,2008,,likenew,4cylinders,4wd,gas,97000,silver,mid-size,rebuilt,manual,sedan,https://images.craigslist.org/00h0h_Y30PJru4wY_600x450.jpg,
https://chico.craigslist.org/cto/d/chester-92-subaru-impreza/7073063181.html,1992 subaru impreza,1200,1992,,,,,gas,,,,salvage,manual,,https://images.craigslist.org/00606_h3JenIJnWFn_600x450.jpg,
https://klamath.craigslist.org/cto/d/klamath-falls-2007-subaru-impreza-wrx/7073858539.html,2007 subaru impreza wrx,6900,2007,,excellent,4cylinders,4wd,gas,187000,silver,mid-size,clean,manual,sedan,https://images.craigslist.org/00g0g_cuMoyhXJAI_600x450.jpg,
https://klamath.craigslist.org/cto/d/klamath-falls-2002-subaru-wrx/7068932474.html,2002 Subaru Impreza WRX,8000,2002,,good,4cylinders,4wd,gas,105000,,,clean,manual,,,
