url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/ctd/d/fortuna-2017-subaru-outback-25i-premium/7082193497.html,2017 Subaru Outback,22995,2017,4S4BSAFC9H3324760,excellent,4cylinders,,gas,42917,red,,clean,automatic,wagon,https://images.craigslist.org/00404_215kOuuefC4_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/winter-is-here-get-your-excellent/7080274062.html,2000 Subaru Outback,3000,2000,,excellent,,,gas,,,,clean,automatic,,https://images.craigslist.org/00h0h_35bm3cESwKw_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2017-subaru-outback-25i-premium/7079771116.html,2017 Subaru Outback,22995,2017,4S4BSAFC9H3324760,excellent,4cylinders,,gas,42917,red,,clean,automatic,wagon,https://images.craigslist.org/00404_215kOuuefC4_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/fortuna-2017-subaru-outback-25i-premium/7077364437.html,2017 Subaru Outback,22995,2017,4S4BSAFC9H3324760,excellent,4cylinders,,gas,42917,red,,clean,automatic,wagon,https://images.craigslist.org/00404_215kOuuefC4_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/eureka-2014-subaru-outback-25i-limited/7077293268.html,2014 Subaru Outback 2.5i Limited,16995,2014,4S4BRBLC6E3315838,,,,gas,88842,silver,,clean,automatic,wagon,https://images.craigslist.org/00W0W_lnno7DCMnpV_600x450.jpg,
https://humboldt.craigslist.org/cto/d/mckinleyville-2006-subaru-outback/7074362001.html,2006 2006 Subaru Outback,5800,2006,,good,4cylinders,4wd,gas,175000,blue,,clean,manual,,https://images.craigslist.org/00H0H_eRcjVSCMJvv_600x450.jpg,
https://humboldt.craigslist.org/cto/d/arcata-1999-subaru-outback/7074005535.html,1999 subaru outback,500,1999,,salvage,4cylinders,4wd,gas,,white,mid-size,clean,automatic,wagon,https://images.craigslist.org/01111_d4yAtbnabEg_600x450.jpg,
https://humboldt.craigslist.org/cto/d/san-rafael-2008-subaru-outback-awd-5/7072763405.html,2008 subaru legacy outback,3750,2008,,good,4cylinders,4wd,gas,140000,,,salvage,manual,,https://images.craigslist.org/00606_cugyESi4rux_600x450.jpg,
https://humboldt.craigslist.org/cto/d/arcata-2001-subaru-outback-rally-wagon/7070161544.html,2001 Subaru Outback,2750,2001,,,,4wd,gas,,,,clean,automatic,,https://images.craigslist.org/00F0F_gAfKWwQ2YvC_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/redding-2013-subaru-outbackaffordable/7069902973.html,2013 Subaru Outback 2.5i Premium,6990,2013,4S4BRBCCXD3310480,,4cylinders,4wd,gas,225865,custom,,clean,automatic,wagon,https://images.craigslist.org/00E0E_9BgKmGnfLxh_600x450.jpg,
https://redding.craigslist.org/cto/d/dunsmuir-2000-subaru-outback-all-wheel/7082500521.html,2000 subaru outback,3000,2000,,good,4cylinders,4wd,gas,183000,,compact,clean,automatic,wagon,https://images.craigslist.org/00b0b_6q3oT5pkeh8_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2005-subaru-outback-5-speed/7081015614.html,2005 subaru outback wagon,6599,2005,4S4BP61C256381964,excellent,4cylinders,4wd,gas,152207,blue,,clean,manual,,https://images.craigslist.org/01313_5vuKuNzABUF_600x450.jpg,
https://redding.craigslist.org/ctd/d/weaverville-2008-subaru-outback-base/7080627745.html,2008 Subaru Outback Base,7495,2008,4S4BP60C787366506,,4cylinders,,gas,126260,blue,,clean,automatic,wagon,https://images.craigslist.org/00g0g_hKonQ8OJBjd_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2017-subaru-outback-25i-premium/7080422936.html,2017 Subaru Outback 2.5i Premium,18999,2017,4S4BSAFC5H3394014,,,,gas,76280,grey,,clean,automatic,wagon,https://images.craigslist.org/00v0v_cbc8lJigysC_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2018-subaru-outback-awd-sport/7079982144.html,2018 Subaru Outback,18987,2018,4S4BSACC2J3235364,excellent,,,gas,54478,silver,,clean,automatic,,https://images.craigslist.org/00S0S_l0Z3qvrUrE0_600x450.jpg,
https://redding.craigslist.org/cto/d/mount-shasta-2013-subaru-outback-limited/7079817846.html,2013 Subaru Outback,9900,2013,4S4BRBKCXD3286408,excellent,4cylinders,,gas,140000,white,,clean,automatic,hatchback,https://images.craigslist.org/00K0K_30lSYQBnjEQ_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2018-subaru-outback-awd-all/7079070633.html,2018 Subaru Outback Limited,0,,4S4BSANC9J3252174,,4cylinders,4wd,gas,73465,,,clean,automatic,SUV,https://images.craigslist.org/00t0t_g7bnmHTW1Sj_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2013-subaru-outback-4dr-wgn/7078689244.html,2013 Subaru Outback,12999,2013,4S4BRBCC6D3251914,excellent,4cylinders,4wd,gas,114091,,mid-size,clean,manual,wagon,https://images.craigslist.org/00v0v_aqXo4i4gFHw_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2010-subaru-outback-4dr-wgn/7078686377.html,2010 Subaru Outback,8999,2010,4S4BRBAC7A3366195,excellent,4cylinders,4wd,gas,122572,,mid-size,clean,automatic,wagon,https://images.craigslist.org/01616_ln2868Lwb6z_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2013-subaru-outback-h4-auto/7078686252.html,2013 Subaru Outback,13999,2013,4S4BRBCC8D3279455,excellent,4cylinders,4wd,gas,63526,,mid-size,clean,automatic,wagon,https://images.craigslist.org/00101_kolwfq5jhZS_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2015-subaru-outback-25i/7078682198.html,2015 Subaru Outback,16999,2015,4S4BSANC5F3290492,excellent,4cylinders,4wd,gas,99046,green,full-size,clean,automatic,SUV,https://images.craigslist.org/00a0a_7VYgBoIhOGh_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2017-subaru-outback-25i-premium/7078005303.html,2017 Subaru Outback 2.5i Premium,18999,2017,4S4BSAFC5H3394014,,,,gas,76280,grey,,clean,automatic,wagon,https://images.craigslist.org/00v0v_cbc8lJigysC_600x450.jpg,
