url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://humboldt.craigslist.org/cto/d/eureka-1987-toyota-4runner/7081738117.html,1987 Toyota 4runner,5000,1987,,good,6cylinders,4wd,gas,250,grey,,clean,manual,SUV,https://images.craigslist.org/00T0T_gUGVJ5f8drN_600x450.jpg,
https://humboldt.craigslist.org/cto/d/eureka-2014-toyota-4runner-trail-edition/7080601357.html,2014 Toyota 4runner,28000,2014,,,,,gas,,,,clean,automatic,,https://images.craigslist.org/00Z0Z_kqhjmkv8iM2_600x450.jpg,
https://humboldt.craigslist.org/cto/d/mckinleyville-1998-toyota-4runner-sr5/7079946339.html,1998 toyota 4runner sr5,850,1998,,good,,,gas,,,,clean,automatic,SUV,https://images.craigslist.org/01111_8iwjfwr0tEm_600x450.jpg,
https://humboldt.craigslist.org/cto/d/arcata-toyota-4-runner-4wd/7077346219.html,2013 toyota 4runner,20000,2013,,,,4wd,gas,134000,,,clean,automatic,,https://images.craigslist.org/00N0N_a8hgyEHClQZ_600x450.jpg,
https://humboldt.craigslist.org/cto/d/arcata-runner-sr5-4wd-3rd-row/7076374637.html,2004 Toyota 4Runner,9000,2004,,,,,gas,,,,clean,automatic,,https://images.craigslist.org/01515_7O6XgI7YbAZ_600x450.jpg,
https://humboldt.craigslist.org/cto/d/cutten-1998-toyota-4runner-four-wheel/7075866442.html,1998 toyota 4runner limited,5500,1998,,excellent,6cylinders,4wd,gas,206126,green,mid-size,clean,automatic,SUV,https://images.craigslist.org/00W0W_fEgE0ckim0j_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/eureka-2016-toyota-4runner-sr5-4x4/7071183825.html,2016 Toyota 4Runner SR5 4x4,33995,2016,JTEBU5JR4G5384669,,,4wd,gas,39424,blue,,clean,automatic,SUV,https://images.craigslist.org/00F0F_dUF8x8LU8dZ_600x450.jpg,
https://humboldt.craigslist.org/ctd/d/mckinleyville-2019-toyota-4runner/7068964419.html,2019 TOYOTA 4RUNNER,36995,2019,JTEBU5JR6K5639752,likenew,6cylinders,4wd,gas,26489,grey,full-size,clean,automatic,SUV,https://images.craigslist.org/00000_asS8VtrZ8nq_600x450.jpg,
https://humboldt.craigslist.org/cto/d/redway-94-toyota-4runner/7066752209.html,1994 Toyota 4Runner,2500,1994,,good,4cylinders,4wd,gas,208000,silver,,clean,manual,SUV,https://images.craigslist.org/00h0h_iOUImg4PFxX_600x450.jpg,
https://humboldt.craigslist.org/cto/d/redway-toyota-4runner-sr5/7065644377.html,1997 toyota 4runner,3750,1997,Jt3hn86r5v0084143,excellent,6cylinders,4wd,gas,208500,silver,full-size,clean,automatic,SUV,https://images.craigslist.org/00707_k0UjyudSYGk_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2011-toyota-4runner-4wd-4dr/7078695894.html,2011 Toyota 4Runner,21999,2011,JTEBU5JR9B5037847,excellent,6cylinders,4wd,gas,118946,black,full-size,clean,automatic,SUV,https://images.craigslist.org/00x0x_cEqTDJW0TI9_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2010-toyota-4runner-rwd-v6/7078683789.html,2010 Toyota 4Runner,16999,2010,JTEZU5JR8A5001905,excellent,6cylinders,rwd,gas,111932,white,full-size,clean,automatic,SUV,https://images.craigslist.org/01515_hosr3mA3OSf_600x450.jpg,
