url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,
https://humboldt.craigslist.org/cto/d/trinidad-toyota-highlander/7077151238.html,2004 Toyota Highlander,5500,2004,,excellent,6 cylinders,4wd,gas,,,full-size,clean,automatic,,
https://redding.craigslist.org/cto/d/paradise-2016-toyota-highlander-le-plus/7070087023.html,2016 toyota highlander,24000,2016,,good,6 cylinders,4wd,gas,53000,grey,mid-size,clean,automatic,SUV,
https://redding.craigslist.org/cto/d/redding-toyota-highlander/7069812171.html,2004 Toyota Highlander AWD,3900,2004,,,,,gas,269000,,,clean,automatic,,
https://medford.craigslist.org/cto/d/fall-river-mills-toyota-highlander/7074990436.html,2011 toyota highlander v6,14000,2011,,good,6 cylinders,fwd,gas,118000,white,mid-size,clean,manual,SUV,
https://medford.craigslist.org/cto/d/grants-pass-2002-toyota-highlander/7074896166.html,2002 Toyota Highlander,5200,2002,JTEHF21A020041568,good,6 cylinders,4wd,gas,224250,black,,clean,automatic,SUV,
https://medford.craigslist.org/cto/d/phoenix-2008-toyota-highlander/7071698653.html,2008 Toyota Highlander,9250,2008,JTEES41A082035101,good,6 cylinders,4wd,gas,142200,red,mid-size,clean,automatic,SUV,
https://medford.craigslist.org/cto/d/grants-pass-toyota-highlander-limited/7070793784.html,2002 toyota highlander v6,4500,2002,JTEHF21A620048525,good,6 cylinders,4wd,gas,216000,silver,full-size,clean,automatic,SUV,
https://chico.craigslist.org/cto/d/paradise-2016-toyota-highlander-le-plus/7070061141.html,2016 toyota highlander,24000,2016,,good,6 cylinders,4wd,gas,,grey,mid-size,clean,automatic,SUV,
https://chico.craigslist.org/cto/d/chico-2008-toyota-highlander/7068306753.html,2008 Toyota Highlander,7300,2008,,excellent,6 cylinders,,gas,,,,clean,automatic,SUV,
https://chico.craigslist.org/cto/d/oroville-limited-edition-toyota/7063718143.html,2004 toyota highlander limited,1,2004,,good,6 cylinders,,gas,215000,blue,full-size,clean,automatic,SUV,
