url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,pic,
https://redding.craigslist.org/ctd/d/yuba-city-2011-toyota-sienna-navigation/7082260790.html,2011 Toyota Sienna XLE 8-Passenger,13995,2011,,excellent,6cylinders,fwd,gas,128641,silver,full-size,clean,automatic,mini-van,https://images.craigslist.org/00p0p_lUv63EvyPlv_600x450.jpg,
https://redding.craigslist.org/cto/d/redding-toyota-sienna-le/7081872327.html,2000 toyota sienna le,2900,2000,,good,6cylinders,fwd,gas,152180,white,,clean,automatic,van,https://images.craigslist.org/00M0M_6t5glK2nRrh_600x450.jpg,
https://redding.craigslist.org/ctd/d/sacramento-2012-toyota-sienna-limited-7/7071718036.html,2012 TOYOTA SIENNA,15777,2012,5TDDK3DC2CS038607,,,4wd,gas,116756,,,clean,automatic,wagon,https://images.craigslist.org/00R0R_jsrW7X6YcP_600x450.jpg,
https://redding.craigslist.org/ctd/d/livermore-2002-toyota-sienna-symphony/7066909044.html,2002 toyota sienna le,2995,2002,4t3zf13c72u488377,excellent,6cylinders,fwd,gas,248654,brown,mid-size,clean,automatic,mini-van,https://images.craigslist.org/00909_eYcnkuwz1tm_600x450.jpg,
https://redding.craigslist.org/ctd/d/roseville-2017-toyota-sienna-se-8/7066218394.html,2017 TOYOTA SIENNA,24988,2017,5TDXZ3DC2HS847802,,,fwd,gas,53874,red,,clean,automatic,wagon,https://images.craigslist.org/00B0B_2AxNaeTQPBe_600x450.jpg,
https://redding.craigslist.org/ctd/d/redding-2005-toyota-sienna-fwd-mini-van/7064641297.html,2005 Toyota Sienna,6995,2005,5TDZA22C45S347178,excellent,,fwd,gas,184881,,,clean,automatic,mini-van,https://images.craigslist.org/00x0x_lBD4VElMVGc_600x450.jpg,
https://medford.craigslist.org/ctd/d/grants-pass-2010-toyota-sienna-5dr-7/7081854173.html,2010 Toyota Sienna,11999,2010,5TDYK4CC5AS334159,excellent,6cylinders,fwd,gas,106051,white,,clean,automatic,mini-van,https://images.craigslist.org/00606_34ExWYWjUMr_600x450.jpg,
https://medford.craigslist.org/ctd/d/medford-2006-toyota-sienna-5dr-le-fwd-8/7081824993.html,2006 Toyota Sienna,6923,2006,5TDZA23C86S473480,,6cylinders,,gas,151350,,,clean,automatic,,https://images.craigslist.org/00606_9Vl87oeW1yL_600x450.jpg,
https://medford.craigslist.org/cto/d/grants-pass-2009-toyota-sienna-wc/7081779372.html,2009 toyota sienna xle,29500,2009,5TDZK22C29S250032,good,6cylinders,,gas,71000,,,clean,automatic,van,https://images.craigslist.org/00y0y_cQLgIubDj4u_600x450.jpg,
https://medford.craigslist.org/cto/d/medford-2004-toyota-sienna/7080582056.html,2004 toyota sienna le,1900,2004,,,,,gas,216000,,,clean,automatic,,https://images.craigslist.org/00v0v_jpGzs1Ahhd_600x450.jpg,
