url,car,price,model year,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,
https://humboldt.craigslist.org/cto/d/arcata-2007-toyota-tundra-57-trd-off/7076572814.html,2007 toyota tundra,13500,2007,,,8 cylinders,4wd,gas,,silver,,clean,manual,truck,
https://humboldt.craigslist.org/cto/d/arcata-tundra/7076529130.html,2015 Toyota Tundra,40000,2015,,,,,gas,,,,clean,automatic,,
https://humboldt.craigslist.org/cto/d/eureka-toyota-tundra/7071886498.html,2005 toyota tundra double cab sr5,11000,2005,,good,8 cylinders,4wd,gas,180600,grey,,clean,automatic,truck,
https://humboldt.craigslist.org/cto/d/cutten-2012-toyota-tundra-crewmax/7071787345.html,2012 toyota tundra,19999,2012,,good,8 cylinders,4wd,gas,,black,full-size,clean,automatic,truck,
https://humboldt.craigslist.org/cto/d/samoa-2016-toyota-tundra-sr5-4x4/7071186318.html,2016 Toyota Tundra,29000,2016,,,,,gas,,,,clean,automatic,,
https://humboldt.craigslist.org/cto/d/arcata-2007-toyota-tundra-double-cab/7071047604.html,2007 toyota tundra 4wd truck,17500,2007,,excellent,8 cylinders,4wd,gas,116000,white,full-size,clean,automatic,pickup,
https://humboldt.craigslist.org/cto/d/klamath-2008-toyota-tundra-sr5-4x4/7063682419.html,2008 toyota tundra sr5,1,2008,,good,,4wd,gas,129578,black,full-size,clean,automatic,truck,
https://humboldt.craigslist.org/cto/d/eureka-2007-toyota-tundra/7059696011.html,2007 2007 Limited Toyota Tundra,17000,2007,,good,,4wd,gas,152000,blue,,clean,automatic,truck,
https://redding.craigslist.org/cto/d/sacramento-limited-toyota-tundra-4wd/7077392749.html,2003 toyota tundra limited 4wd,13500,2003,,like new,8 cylinders,4wd,gas,133783,,,clean,automatic,,
https://redding.craigslist.org/cto/d/redding-2004-toyota-tundra-4x4/7074772884.html,2004 toyota tundra limited,11000,2004,,good,,4wd,gas,192000,white,,clean,automatic,,
https://redding.craigslist.org/cto/d/sacramento-toyota-4wd-tundra-access-cab/7074561505.html,2001 toyota tundra sr5 4x4,10300,2001,,,8 cylinders,4wd,gas,165458,white,,clean,automatic,,
https://redding.craigslist.org/cto/d/cottonwood-2012-toyota-tundra-crewmax/7071775722.html,2012 Toyota Tundra,19999,2012,,good,8 cylinders,4wd,gas,,black,full-size,clean,automatic,pickup,
https://redding.craigslist.org/cto/d/redding-2014-toyota-tundra/7068524564.html,2014 toyota tundra 4wd truck,27500,2014,,excellent,,4wd,gas,69000,black,,clean,automatic,truck,
https://redding.craigslist.org/cto/d/redding-2006-toyota-tundra/7066299435.html,,,,,,,,,,,,,,,
https://siskiyou.craigslist.org/cto/d/yreka-2003-toyota-tundra/7078082184.html,2003 Toyota Tundra,9000,2003,,good,8 cylinders,4wd,gas,128800,,,clean,automatic,,
https://mendocino.craigslist.org/cto/d/2006-toyota-tundra/7070217529.html,2006 Toyota Tundra,9000,2006,,,,4wd,gas,,,,clean,automatic,,
https://mendocino.craigslist.org/cto/d/fort-bragg-fantastic-07-toyota-tundra/7068063992.html,2007 toyota tundra,19800,2007,,like new,,4wd,gas,123600,grey,full-size,clean,automatic,truck,
https://mendocino.craigslist.org/cto/d/kelseyville-2007-toyota-tundra-sr5/7066522279.html,2007 Toyota Tundra,8500,2007,,,8 cylinders,rwd,gas,275000,black,full-size,clean,manual,truck,
https://medford.craigslist.org/cto/d/medford-2001-toyota-tundra-sr5-4x4/7078463363.html,2001 toyota tundra,4499,2001,,good,8 cylinders,4wd,gas,,silver,,clean,automatic,,
https://medford.craigslist.org/cto/d/grants-pass-06-toyota-tundra-limited/7076065579.html,2006 toyota tundra limited,10000,2006,,good,8 cylinders,4wd,gas,,grey,,clean,automatic,truck,
https://medford.craigslist.org/cto/d/medford-2012-toyota-tundra-crewmax/7071780945.html,2012 toyota tundra sr5,19999,2012,,good,8 cylinders,4wd,gas,,black,full-size,clean,automatic,truck,
https://medford.craigslist.org/cto/d/medford-2001-toyota-tundra-sr5-4x4/7071119487.html,2001 toyota tundra,4499,2001,,good,8 cylinders,4wd,gas,,silver,,clean,automatic,,
https://medford.craigslist.org/cto/d/ashland-2017-toyota-tundra-trd-double/7064647222.html,2017 Toyota Tundra 4wd TRD,35000,2017,5TFUY5F10HX623855,excellent,8 cylinders,4wd,gas,30819,grey,full-size,clean,automatic,truck,
https://medford.craigslist.org/cto/d/medford-2012-toyota-tundra-4x4-low-miles/7061856531.html,2012 Toyota Tundra,24000,2012,,,,,gas,,,,clean,automatic,,
https://chico.craigslist.org/cto/d/chico-2016-tundra/7078458011.html,2016 toyota tundra,30000,2016,,good,8 cylinders,rwd,gas,47000,white,full-size,clean,automatic,truck,
https://chico.craigslist.org/cto/d/oroville-2011-toyota-tundra/7075650051.html,2011 toyota tundra,19800,2011,5TFUY5F1XBX180489,excellent,8 cylinders,4wd,gas,76500,white,full-size,clean,automatic,pickup,
https://chico.craigslist.org/cto/d/durham-excellent-2004-toyota-tundra/7066292563.html,2004 Toyota Tundra Truck,7050,2004,,,,,gas,,,,clean,automatic,,
https://klamath.craigslist.org/cto/d/klamath-falls-sold-toyota-tundra/7071248185.html,2017 toyota tundra,37500,2017,,excellent,8 cylinders,4wd,gas,42000,black,full-size,clean,automatic,truck,
